,,,
OPTIONS,,,"game customization, it local changes, affecting only you"
-enablehelp #,-eh #,,return help-parameter to default; optional parameter # - number of ally
-disablehelp #,-dh #,,disallowing help from sertain abilities; optional parameter # - number of ally
-enableselection,-es,,"control selection helper has been enabled, your summons and illusions select as soon as appears"
-disableselection,-ds,,return selection-parameter to default
-ui,,,hide \ display courier deathtimer
-iteminfo,-ii,,inherited command display items of your teammates in top-right table
-md,,,right click deny toggle
-dch,,DoubleClickHelperEnabled,double click toggle (some abilities and items use onself)
-aat,,,autoattack toggle
-autoselect,,AutoselectHero,autoselect primary hero toggle
-cap,,,clan's tag over creeps head toggle
-hideheronames,-hhn,,AutoselectHero
-hpbar,,DotA2HPBars,DotA2HP bars style
-manabar,,DisplayManabars,manabar toggle
-ws,,WideScreen,widescreen toggle
-cam #,,,"camera height to # (1500-3000, 1650 - default, # =1 (1650), # =2 (3300))"
/hideminimapsignals,,,disable minimap signals from allies
-lat #,-plat #,,"ingame latency changer, turn off fps limit"
-fd #,,FogDensity,"fog density, affects minimap, 0-255"
-showmsg \ -hidemsg,,,Display/hide various ingame messages
-music ID,,,set musical theme (ID list in the and of table)
-weather ID,,Weather,custom weather
-water R G B,,,cutom watercolor
-mute,,,mute killstreak announcer
-mute #,,,
-unmute #,,,
-names #,,,toggle naming of players; 1 = numbers; 2 = hero names; any other = default
-autofps,,AutoFPSLimit,"autocorrection of FPS, toggle"
-maxfps #,,MaxFPS,MaxFPS
-window,,LockMouseAtWindow,keep mouse in game window if played in windowed mode
-light 0-5,,,"light from 0 - Felwood, 1 - Underground, 2 - Lordaeron,3 - Dungeon, 4 - Dalaran, 5 - Ashenvale"
-aoe,,,tower radius and neutrals spawn area toggle
/fps,,,display / hide fps and memory using
-nospace,,DisableDefaultSpace,disable camera jumping on Space key
-nowheel,,DisableDefaultMouseWheel,disable camera moving on mouse wheel
-nmm,,,old style of minimap teamcolors
-tk,,,tavern select with arrow-keys (auto off after pick stage)
-hud,,,hero portraits at the top of screen
-tips,,,off\on on-death tips
-betterfps,,BetterFPS,turn off part of visual effects (and water) for help your piece of shit
-betterfps2,,BetterFPS,toggles ubersplats
-bind reset,,,reload all config-based hotkeys once again
-bindissue #,,,fix any kind of issues regarding innate map's keybinding via config
-green,,AlliesAlwaysGreen,allies pictograms will be green in 2 of 3 of minimap color schemes
-doublef,,,toggle F1-F5 work twice
-mute me \ -unmute me,,,effectively prevents your message from reaching allies or enemies chat
-unshare #,-us #,,remove shared control from player 1-5
/squelch NAME,,,hide chat msgs from NAME
/ignore NAME,,,analog /squelch
-clear,-c,,
,,,
COMMANDS,,,other class of msgs that allow you control gameplay actions or obtain additional information
press down F7,,,open statistic table
key Esc,,,-clear analog
-random,,,
-random agi,,,
-random int,,,
-random str,,,
-gameinfo,,,
-unstuck,,,
-matchup,-ma,,
-movespeed,-ms \ -msa,,
-apm,,,
-bonus,,,bonus golg information
-creepstats,-cs,,
-csa,,,
-invokelist,-il,,
-afk,,,
-kickafk #,,,
-si # #,,,swap items in slots # and # (useful for aegis or aghanim)
-sleep,,,
-roll \ -rickroll \ -rolloff \ -rollon \ -rollhero \ -rh,,,
-swap # \ -swapall \ -swaphero \ -swapcancel,,,
-repick,,,
-switch accept \ -ok \ -no,,,
-unlock,,,
-gg \ !ff,,,vote for forfeit
-deathon \ -deathoff,-don \ -doff,,
-st,,,
-sta,,,Global -st throught all your teammates
-t,,,Displays current time from the start of the map
-calm,,,trash
-courier,,,"special icon for main courier (priority: my flying, any my, flying shared, any shared)"
There are no hero limit (-nhl) in single and Secret Shops on fountains.,,,
TEST CMDS,,,They only works if there's only one player ingame (means even in multiplayer which was start with 1 real player) or -test command been used in multiplayer game
-refresh,-r,,"Refresh cooldowns, HP/MP of selected units  (here and forward if something affects unit it means it affects all selected unit at the moment command been sent)"
-neutrals,-n,,Spawn neutrals
-b,,,Add a global blink to unit
-fog,,,Toggle fog of war
-o #,,,"Set selected unit owner to #, 1-5 for sentinels, 7-11 for scourge, make sure to check multiboard to see if your hero didn't disappear. This command may chose main hero, use it with your own ID (blue = 1, -o 1)"
-control,-c,,"share/unshare control, affects all players"
-spawnoff \ -spawnon,-so \ ...,,Toggle creeps spawn
-spawncreeps,-sc,,spawn creeps wave
-respawn,-res,,Immediately respawn your main hero
-dummy, -d \ -d #,,"Create enemy dummy hero at the middle of the map, # allows to create # dummies at once (all melee)"
-str # \ -agi # \ -int # ,,,change unit's STR/AGI/INT value (can be negative)
-setms #,,,Setup base MS for unit
-lvlup #,-l \ -l #,,Add levels to unit
-gold #,-g \ -g #,,Add gold to yourself
-si,,,Displays every casted ability ID (useful for getting IDs for custom keys)
